"product_name","product_brand","units_sold","revenue"
"TEXTILE Elizabeth and James Women's Jimi Distressed Jean","TEXTILE Elizabeth and James","4","776"
"La Blanca Hike in Hawaii Molded Bra Tankini Top","La Blanca","8","776"
"Yoana Baraschi Women's 7th Heaven Tweed Skirt","Yoana Baraschi","6","775.6799926757812"
"7 For All Mankind Men's A Pocket Classic Bootcut jean in New York Dark","7 For All Mankind","5","775"
"Ray-Ban Aviator 112/17 Aviator SunglassesMatte Gold55 mm","Ray-Ban","5","775"
"Polo Ralph Lauren Men Cashmere V-Neck Sweater","Ralph Lauren","5","774.9500274658203"
"True Religion Brand Jeans Men's Bobby C/O Straight Cut Off Jean Shorts","True Religion","5","774.8500061035156"
"Ralph by Ralph Lauren Women's 0RA4004 Aviator Sunglasses","Ralph by Ralph Lauren","13","774.5400238037109"
"Smartwool Men's PhD Ski Ultra Light Sock","SmartWool","22","774.1799697875977"
"Electric Visual Tonette Round Sunglasses","Electric","12","774"
"Jules & Jim Women's Hot Mama Neck Dress","Jules & Jim","6","774"
"HUGO BOSS Men's Jersey Shawl Collar Robe","HUGO BOSS","6","774"
"Momo Maternity Women's Wool Blend 'Kennedy' Toggle Button Coat","Momo Maternity","6","774"
"Joie Women's Valera Sweater","Joie","3","774"
"Black Affair Underwire","UjENA","4","774"
"Lucky Brand Mens 181 Relaxed Straight Leg Jean In Ol Yogi","Lucky Brand","6","774"
"Miraclesuit Solid Karavelle Tankini Top","Miraclesuit","9","774"
"Jones New York Women's Plus-Size Slim Tuxedo Pant","Jones New York","6","774"
"RVCA Men's Puffer Alcatraz","RVCA","9","774"
"Three Dots Red Women's Cut Out Top","Three Dots","10","773.7999725341797"
"Weatherproof 3-in-1 Systems Jacket","Weatherproof","5","773.6499786376953"
"Volcom Men's 6 Way Stretch Pixelater Boardshort","Volcom","13","773.5"
"Cosabella Women's Silvia Babydoll","Cosabella","8","773.2800292968749"
"Volcom Men's Brouhah Sweater","Volcom","13","772.8500099182128"
"Ariat 8403 Men's M4 Low Rise Boot Scoundrel","Ariat","9","770.6699752807617"
"Ray-Ban RB4147P Flatop Boyfriend Polarized Sunglasses","Ray-Ban","7","770.4899978637695"
"Quiksilver Waterman Men's Santa Cruz Jacket","Quiksilver","7","770"
"Hidden Cargo Pants 2.0","Scottevest","11","770"
"Reef Men's Flower Peddler Swimwear","Reef","11","770"
"BB Dakota Juniors Uri Sweater","BB Dakota","7","770"
"Eberjey Fanny Camisole Black","Eberjey","11","770"
"Reebok Women's Stairway To My Heart Tank","Reebok","7","770"
"True Religion Men's Isaac Cargo Short","True Religion","5","770"
"Hot Chillys Men's Mec Ankle Tight","Hot Chillys","14","770"
"Hudson Mens Saint Straight Leg Jean","Hudson","5","770"
"Minus33 100% Merino Wool Base Layer 714 MidWeight 1/4 Length Zip Top","Minus33 Merino Wool","11","770"
"neff Men's Daily Shell Hood","NEFF","7","770"
"Bloomingdales Mens Burgundy Wine Cashmere Crewneck Sweater","BLOOMINGDALES","7","770"
"Natori Women's Plus-Size Shangri-La Bathrobe","Natori","7","770"
"Levi's Men's Wool Melton 4-Pocket Coat with Zip-Out Bib and Hood","Levi's","7","769.9299850463866"
"Levi's Men's Wool Melton Pea Coat with Zip-Out Bib and Hood","Levi's","7","769.9299850463866"
"Polo Ralph Lauren Bi-Swing Windbreaker Jacket Navy","Polo Ralph Lauren","7","769.9299850463866"
"London Fog Men's Durham Single-Breasted Fly-Front Balmacaan Raincoat","London Fog","7","769.9299850463866"
"Ed Garments Men's Three-Ply Pleated Dress Pant. 2680","Ed Garments","10","769.8999786376953"
"Calvin Klein Sportswear Men's Striped Full Zip Sweater","Calvin Klein","11","769.8899765014648"
"Jerzees 4999 9.5 oz. Super Sweats 50/50 Full-Zip Hood","Jerzees","11","769.8899765014648"
"Suit Studio Garden Grove Skirt Suit","Suit Studio","11","769.7800369262695"
"Men's Single Breasted Black Luxury Wool Full Length Topcoat","Cianni","7","769.6499786376954"
"Mountain Hardwear Onata Jacket - Women's","Mountain Hardwear","7","769.6499786376954"
"White XXL Terry Bathrobe. Full Length 52 Inches Long Rollup Sleeves 2x","Spa & Resort","11","769.4499664306641"
"Men's Single Breasted 3 Button Gray Pinstripe Super 150's Wool Feel Dress Suit","Giorgio Cerruti","11","769.4499664306641"
"Men's Single Breasted 2 Button Brown Sport Coat","Braveman","11","769.4499664306641"
"Men's Single Breasted Two Button Olive Dress Suit","Bolzano","11","769.4499664306641"
"Nike Classic Fleece Hooded Top","Nike","19","768.9100112915039"
"GRAND RIVER Regular Fit Stretch Jeans - In Blue or Black #180","Grand River","8","768.239990234375"
"Armani Exchange Zippered Logo Jacket","A:X Armani Exchange","6","768"
"French Connection Men's Parry Patch Wool Sweater","French Connection","6","768"
"Le Mystere Women's Energie Sports Bra","Le Mystere","12","768"
"French Connection Men's Legendary Donegal Mock Neck Sweater","French Connection","6","768"
"Calvin Klein Women's Lux Stretch Rayon Career Dress","Calvin Klein","6","768"
"GUESS Starlet Bootcut Jeans - Dreamcatcher Was","GUESS","6","768"
"Gottex Gottex Exclusive One Piece Wide Strap Tank","Gottex","6","768"
"Jessica Simpson Women's Sweater Top Combo Dress","Jessica Simpson","6","768"
"LRG Core Collection Pullover Hoodie - Men's","LRG","12","768"
"Armani Exchange Washed Grey Jean","A:X Armani Exchange","6","768"
"NOM Women's Maternity Maternity Sophie Dress","NOM","8","768"
"Diesel Men's T-Sriki","Diesel","6","768"
"MAXSTUDIO PLAID ROMPER","MAXSTUDIO","6","768"
"Minus33 Merino Wool 500 White Mountain Work Shirt","Minus33 Merino Wool","8","768"
"Diesel Men's Siranella-S Shirt","Diesel","6","768"
"Pendleton Men's Hunter Popover Sweatshirt","Pendleton","8","768"
"Maglierie Di Perugia MDP IU 1802 CEL Silk/Cashmere V-Neck Light Blue Men's Sweater","Cashmere Selection","8","767.9199829101561"
"Maglierie Di Perugia MDP IU 1803 GRI Silk/Cashmere Mock Neck Half Zip Grey Men's Sweater","Cashmere Selection","8","767.9199829101561"
"Maglierie Di Perugia MDP IU 1804 CEL Silk/Cashmere Mock Neck Zip Through Light Blue Men's Knit Sweater","Cashmere Selection","8","767.9199829101561"
"Levi's Women's 512 Plus-Size Skinny Jean","Levi's","16","767.8400268554688"
"Jones New York Plain Front Shorts","Jones New York","17","767.7699928283691"
"Pearl Izumi Men's Thermal Zip Neck Long Sleeve Baselayer","Pearl iZUMi","9","767.0700302124023"
"Ever Pretty Women's Charm Strapless Polka Mini Dress","Ever-Pretty","13","767"
"Paul Fredrick 100% Wool Gabardine Flat Front Pants","Paul Fredrick","7","766.5"
"RUDE White Skinny Fit Denim Jeans","Hot Topic","21","766.5"
"Tommy Hilfiger Men's Trim Fit 2 Button Side Vent Chambray Sport Coat","Tommy Hilfiger","7","765.4499893188475"
"Le Suit Safari Nights Skirt Suit","Le Suit","6","765.0600128173829"
"Evan Picone Cambridge Skirt Suit","Evan Picone","6","765.0600128173829"
"Nine West English Rose Short Sleeve Skirt Suit","Nine West","6","765.0600128173829"
"Nine West Urban Multi Pant Suit","Nine West","6","765.0600128173829"
"Woolrich Men's Beacon Crew Sweater","Woolrich","9","765"
"Ben Sherman Men's Long Sleeve 2 Finger Button Down Woven","Ben Sherman","9","765"
"DC Hotaka Hoodie Olympian Blue Womens","DC","9","765"
"Miraclesuit Women's Fern Fan Cap Sleeve Dress","Miraclesuit","10","765"
"Woolrich Women's Pemberton Dress","Woolrich","9","765"
"Tripp Black And Blue Strap Pants","Tripp NYC","9","765"
"Fred Perry Men's Twin Tipped Polo","Fred Perry","9","765"
"American Apparel Stretch Twill 5 Pocket Pant","American Apparel","9","765"
"Quiksilver Men's Biggie Fleece","Quiksilver","9","765"
"Levi's Men's 527 Slim Boot Cut Jean","Levi's","15","764.9300117492676"
"Speedo Women's 1 Piece Active Sweetheart","Speedo","9","764.9099807739258"
"Plus Size Back In Black Party Pants","Alex Evenings","9","764.9099807739258"
"Ralph Lauren Men's Flat Front Solid Charcoal Gray Wool Dress Pants","Ralph Lauren","9","764.9099807739258"
"Thorlo Women's Lite Running Mini Ankle-Cut Sock","Thorlo","17","764.8300285339355"
"Levi's Women's Demi Curve Slim Fit Jean","Levi's","17","764.8300285339355"
"Woman Within Plus Size Cover-up for swimsuit hooded in terrycloth","Woman Within","17","764.8300285339355"
"G-Star Men's 3301 Slim Jean","G-Star","5","764.7499847412109"
"Nautica Men's Long Sleeve Wrinkle Resistant Poplin Plaid","Nautica","11","764.5"
"Fox Unsurpassed Jacket","Fox","11","764.5"
"Men's Polo by Ralph Lauren Swimming Trunks Bathing Suit Black with Red Pony","Ralph Lauren","11","764.5"
"RVCA Commit and Advance Pullover Hoodie - Ash","RVCA","11","764.5"
"Fox Men's Outfoxed Zip Front Fleece","Fox","11","764.5"
"Carhartt Men's Flame Resistant Relaxed Fit Jean Straight Leg Jean","Carhartt","10","763.3000183105469"
"Women's Cashmere V-Neck Sweater","Cashmere Boutique","7","763"
"Poplin Expandable Comfort-waist Pants / Plain Front Stone","Orvis","7","763"
"Buffalo Men's Driven-X Basic Jeans","Buffalo","7","763"
"Buffalo by David Bitton Men's Six X Basic Slim Jean","Buffalo by David Bitton","7","763"
"Rich & Skinny Cargo Legging in Khaki","Rich & Skinny","7","763"
"Claeson Women's Color Splash Hoodie Sweatshirt","Claeson","6","762"
"Tommy Bahama Men's Safari Terry Loop Bathrobe","Tommy Bahama","7","761.25"
"eloquii Plus Size Classic Fit Peak Lapel Jacket","eloquii","9","760.5"
"Joe's Jeans Women's Skinny Crop Knit Jean","Joe's Jeans","8","760.3200073242188"
"DC Women's Appi Jacket","DC","4","760"
"DC RD USA Denim Pant - Men's","DC","10","760"
"DL1961 Women's Kate Straight","DL1961","5","760"
"SASSYBAX Convertible Legging","Sassybax","10","760"
"Royal Robbins Women's Whistler Long Cardigan Sweater","Royal Robbins","4","760"
"aryn K Women's Long Sleeve Lace Mini Dress","Aryn K","8","760"
"BB Dakota Juniors Parley","BB Dakota","8","760"
"G Star Raw Doonray Quilted Vest- Magma","G-Star","4","760"
"Icebreaker Men's Sierra Half Zip Jacket","Icebreaker","4","759.9600219726564"
"Mother of the Bride Formal Evening Dress #2454","US Fairytailes","5","759.9500274658203"
"Carhartt Men's Waterproof Breathable Acadia Pant","Carhartt","8","759.9199829101561"
"ZeroXposur Men's Gravity Sweater Down","ZeroXposur","8","759.9199829101561"
"7 For All Mankind Men's The Straight Colored Weft Twill","7 For All Mankind","6","759.7799835205077"
"Suncloud Optics King Sunglasses","Suncloud","19","759.6199913024902"
"Smartwool Women's Midweight Crew","SmartWool","8","759.5999755859374"
"Ray-Ban RB 4132 sunglasses","Ray-Ban","8","759.5999755859374"
"American Apparel Poly-Viscose Welt Pocket Pant","American Apparel","11","759"
"American Apparel Twill Welt Pocket Pant","American Apparel","11","759"
"Carole Hochman Women's Conversational Pajama","Carole Hochman","11","759"
"David's Bridal Very Full Bridal Ball Gown Slip Style 2031WHITE","David's Bridal","11","759"
"Quiksilver Men's Delerium Limited Collection Hoodie Black 310154-BLK","Quiksilver","11","758.5599899291992"
"Diesel Men's Lisardo Jacket","Diesel","1","758"
"G-Star Men's Cl Bronson Chino Tapered Pant","G-Star","8","757.9199829101561"
"prAna Men's Stretch Zion Short","prAna","11","757.900016784668"
"Larry Levine Women's Hooded Wool Duffle Coat","Larry Levine","7","756.2099914550781"
"A Pea in the Pod Collection: J Brand Early and After Belly 5 Pocket Skinny Leg Maternity Jeans","J BRAND","4","756"
"Not Your Daughter's Jeans Women's Plus-Size Marylin Straight Leg Jeans","Not Your Daughter's Jeans","7","756"
"MontBell Ultralight Down Parka - Men's","MontBell","4","756"
"Joe's Jeans Men's Big-Tall Athlete Relaxed Fit","Joe's Jeans","4","756"
"Joe Browns Men's Fur Lined Chunky Knit Cardigan","Joe Browns","7","756"
"Ex Officio Women's Storm Logic Coat","Orvis","4","756"
"Hard Tail 6 Pocket Cargo Ankle Leggings","Hard Tail","9","756"
"ASICS Men's Favorite Short Sleeve Top","ASICS","18","756"
"7 For All Mankind Women's The Kimmie Straight Leg Jean","7 For All Mankind","4","756"
"prAna Women's Audrey Pant","prAna","9","756"
"Calvin Klein Men's Wool Pea Coat with Bib","Calvin Klein","7","756"
"Merino/Cashmere Donegal Sweater","Orvis","4","756"
"Joe's Jeans Women's Cigarette Straight Leg Jean","Joe's Jeans","7","755.9299850463866"
"7 For All Mankind Men's Standard Jean","7 For All Mankind","8","755.9199829101561"
"Affliction Black Premium - Womens Hectic Sweater In Black","Affliction","7","755.6499786376954"
"Fast Lane Pullover Hoodie in Black Lava Wash by Affliction","Affliction","9","755.5499725341796"
"Alfani RED Jacket Navy Stripe Slim Fit","Alfani","11","755.150016784668"
"Seafolly Women's Seaview Boyleg Maillot","Seafolly","5","755"
"TapouT Men's Lock Up Hoodie","TapouT","20","754.080005645752"
"Armani Exchange Cotton Basic Shirt","A:X Armani Exchange","13","754"
"Columbia Sportswear Men's Baselayer Midweight Long Sleeve Top","Columbia","10","753.1999969482422"
"Wrangler Men's Cowboy Cut Original Fit Jean","Wrangler","15","752.6400032043457"
"Canterbury of New Zealand Men's Todd Pigment Sweater","Canterbury of New Zealand","12","752.4000091552733"
"J.C. Rags Men's Herringbone Blazer","J.C. Rags","6","752.2200164794923"
"Ted Baker Men's Bayond Long Sleeve Shawl Neck","Ted Baker","6","752.2200164794923"
"2XU Women's Swimmers Compression Long Sleeve Top","2XU","5","752.0500183105469"
"Ripe Maternity Women's Victoria Stripe Tunic","Ripe Maternity","8","752"
"Diesel Men's Zatiny Slim Micro-Bootcut 008AT Jean","Diesel","5","750.8999633789062"
"Natori Women's Feathers Contour Plunge Bra","Natori","11","750.5300369262695"
"Lucky Brand Men's 181 Relaxed Straight Jean In Love Train","Lucky Brand","9","750.3300247192383"
"Anne Klein Women's Mixed Media Jacket","Anne Klein","7","750.1200256347656"
"True Religion Women's Kiera Mid Thigh Co Short","True Religion","5","750"
"parke & ronen Men's Colorblock Ibiza Brief","Parke & Ronen","10","750"
"Carhartt Mens Tall Work Camo Active Jacket","Carhartt","6","750"
"Men's Polo by Ralph Lauren Long Sleeve Pullover Sweater Purple Heather","Ralph Lauren","6","750"
"Volcom Juniors Stone Dot Hooded Full Zip Jacket","Volcom","10","750"
"Three Dots Bandeau Jumpsuit Black","Three Dots","6","750"
"Hurley Men's 84 Twill Pant","Hurley","10","750"
"Nat Nast Men's Kansas City Ditty Pullover","Nat Nast","6","750"
"Icebreaker Men's Original Zip Sport 320 Top","Icebreaker","5","750"
"MICHAEL Michael Kors Women's Tara","MICHAEL Michael Kors","6","750"
"Pendleton Men's Sir Pendleton Classic Fit Button Down Shirt","Pendleton","6","750"
"Bill's Khakis Original Twill Pants - M3 Style","Bill's Khakis","6","750"
"Faconnable Men's Waffle Pique Polo","Faconnable","6","750"
"Psycho Bunny Men's Striped Crew Neck Sweater","Psycho Bunny","5","750"
"Victorinox Men's Escape Cargo Short","Victorinox","6","750"
"Seraphine Turquoise Jessica Bikini","Seraphine","10","750"
"Oakley Men's Flak Jacket XLJ Golf Sunglasses","Oakley","5","750"
"Outdoor Research Women's Virtuoso Jacket","Outdoor Research","3","750"
"Mountain Hardwear Nitrous Hooded Jacket - Men's","Mountain Hardwear","3","750"
"Columbia Men's Regen Rain Pant","Columbia","15","750"
"Alpha Industries MA-1 Short","Alpha Industries","10","750"
"Le Mystere Women's Bridal Seduction Bustier  #2355","Le Mystere","6","750"
"Oakley Men's Hypersonic Boardshort","Oakley","10","750"
"Bill's Khakis Original Twill Pants - M2 Style","Bill's Khakis","6","750"
"MICHAEL Michael Kors Women's Unis Coat","MICHAEL Michael Kors","6","750"
"Fred Perry Men's Concealed Twin Tip End On","Fred Perry","6","750"
"Nicole Miller Women's Mod Swing Coat","Nicole Miller","5","750"
"Hanro Women's Pure Affair Chemise","Hanro","6","750"
"Patterson J. Kincaid Women's Ricci Blazer","Patterson J. Kincaid","5","749.9500274658203"
"Sutton Studio V-Neck Cashmere Sweater","Sutton Studio","5","749.9500274658203"
"Michael Kors Mens 2 Button Flat Front Charcoal Gray Pinstripe Wool Suit","Michael Kors","5","749.9500274658203"
"BGSD Women's Wool Blend Faux Fox Fur Trimmed Toggle Jacket in Black or Camel","BGSD","5","749.9500274658203"
"Knoles & Carter Women's 7/8 4-pocket Coat","Knoles & Carter","5","749.9500274658203"
"ZeroXposur Men's 3 In 1 Boardwalk System Jacket","ZeroXposur","5","749.9500274658203"
"North Face Women's Windwall 1 Jacket","The North Face","6","749.9399871826171"
"Carhartt Men's Quick Duck Woodward Vest","Carhartt","10","749.8999786376953"
"True Religion Brand Jeans Men's Celestial Hoody Hoodie Sweatshirt-Yellow","True Religion","5","749.8999786376953"
"Under Armour Men's Base 3.0 Crew Shirt","Under Armour","10","749.8999786376953"
"Sexy Strapless Satin Tube Pleated Cocktail Party Evening Mini Dress","Hot from Hollywood","15","749.850025177002"
"Tommy Hilfiger Mens Long Sleeve Pacific V-Neck Pullover Sweater","Tommy Hilfiger","15","749.850025177002"
"Inches Off Plus Size Swimsuit with colorblocking","Inches Off","15","749.850025177002"
"adidas Outdoor Terrex Swift Softshell Jacket - Men's","adidas","5","749.7499847412109"
"Eddie Bauer Signature Stretch Blazer","Eddie Bauer","5","749.7499847412109"
"Columbia Men's Eager Air Interchange Jacket","Columbia","5","749.7499847412109"
"Fred Perry Men's Vintage Marl V-Neck Sweater","Fred Perry","7","749.6999893188475"
"Carhartt Women's Cascade Pant","Carhartt","6","749.6999816894532"
"Nomis NHL3 Hoodie Devils Red Mens","Nomis","10","749.4999694824218"
"Nike Golf Men's Dri-Fit Long Sleeve Stretch Tech Essentials Polo","Nike","10","749.4999694824218"
"Kenneth Cole Women's Once A Cheeta One Piece Swimsuit","Kenneth Cole","7","749"
"Neon Buddha Women's Plus Size Lexington Jersey Skirt","Neon Buddha","7","749"
"Perry Ellis Portfolio Men's Melton Open Bottom Jacket","Perry Ellis","6","748.0800018310547"
"ICECREAM Men's Long Sleeve Running Dog Crewneck","ICECREAM","11","748"
"Polo Ralph Lauren Classic-Fit Mesh Polo","Ralph Lauren","11","748"
"Sunsets Womens V Neck Tankini","Sunsets","11","748"
"Port Authority J762 Authentic Denim Jacket","Port Authority","11","747.8899765014648"
"Tri-Mountain Womens 100%Poly Micro Fleece long sleeve ULTRA COOL jacket with hood.","Tri-Mountain","11","747.2300033569336"
"Ariat 8402 Men's M4 Low Rise Boot Roadhouse","Ariat","9","746.1000137329102"
"Duofold Men's Mid Weight Single-Layer Thermal Tagless Crew","Duofold","16","745.9199829101562"
"KASPER Bright Accents Textured Jacket/Skirt Suit","Kasper","5","745"
"Oneill Men's Jordy Freak Boardshort","O'Neill","10","745"
"French Connection Women's Fast Mini Sequin Jacket","French Connection","5","745"
"Woolrich Men's Exposure Vest","Woolrich","5","745"
"Quiksilver Men's Long Shufe","Quiksilver","10","745"
"Members Only Mens Pu Bomber","Members Only","5","745"
"Boiled-wool Snap-front Pullover","Orvis","5","745"
"Aqua-sea Floral Reversible Jacket","Orvis","5","745"
"Trina Turk Women's Rialto Pant","Trina Turk","5","744.0000152587891"
"Lilly Pulitzer Women's Millie Jacket","Lilly Pulitzer","3","744"
"Jones New York Women's Mj Cowl Draped Dress","Jones New York","8","744"
"NOM Women's Maternity Zora Maxi Dress","NOM","8","744"
"Quiksilver Men's Cypher Wonderland Boardshort","Quiksilver","12","744"
"Le Mystere Women's Tisha Bra","Le Mystere","12","744"
"Speedo Womens Ultraback Moderate Swimsuit","Speedo","12","744"
"Gottex Women's Salome V Neck One Piece Swimsuit","Gottex","5","742.5"
"Quiksilver Men's Colossal Regular Fit Walkshort","Quiksilver","15","742.5"
"Bailey 44 Women's Thurston Howell Iii Jacket","Bailey 44","3","742.5"
"Haggar Men's 2 Button Two Tone Twill Center Vent Sport Coat","Haggar","9","742.1399917602539"
"Bleu Rod Beattie Women's Block Star Retro Cup 1 Piece Swimwear","Bleu Rod Beattie","8","740.8800048828124"
"Diesel Men's K-Ocean Sweater","Diesel","7","740.8799743652344"
"Russell Athletics Men's Big & Tall Color Blocked Polo","Russell Athletic","17","740.009979248047"
"GUESS Connie Blazer","GUESS","5","740"
"ANNE KLEIN Pinstripe Ruffle Collar Pants Suit","Anne Klein","5","740"
"Hanro Men's City Short Pajama Set","Hanro","4","740"
"GUESS Kimmel Checked Blazer","GUESS","5","740"
"Lilly Pulitzer Women's Heidi Cardigan","Lilly Pulitzer","5","740"
"Only Hearts Women's Double Knit 2 Button Jacket","Only Hearts","4","740"
"TAHARI Lilibeth 2PC Jacket/Skirt Suit","Tahari","5","740"
"Oakley Women's Runner Pant","Oakley","10","740"
"Pendleton Men's Jacquard Cardigan","Pendleton","5","740"
"Rock Revival Womens Darcy T5 Straight Leg Jean","Rock Revival","5","740"
"Eileen West Women's Winter Star Pajama","Eileen West","10","740"
"Scott James Men's Santo Cardigan Sweater","Scott James","5","740"
"Rock Revival Men Bootcut Jeans Mick 02 Fleur Flap Dark Wash","Rock Revival","5","740"
"Robert Graham Men's Clark Regular Cuffs","Robert Graham","5","740"
"Lilly Pulitzer Women's Charter Sweater","Lilly Pulitzer","5","740"
"Paige Premium Denim Men's Stone Canyon Boot Cut Jean","PAIGE","4","740"
"American Apparel Slim Slack","American Apparel","10","740"
"Coach Julia Leather Slim Zip Wallet 47388 (SV/Black)","Coach","5","740"
NULL,"Tru-Spec","5","739.9500274658203"
"Larry Levine Women's Luxurious Wool Classic Notch Collar Reefer Coat","Larry Levine","7","738.9199829101564"
"Jessica Simpson Women's Down Puffer Jacket","Jessica Simpson","7","738.9199829101564"
"Larry Levine Women's Hooded Down Coat","Larry Levine","7","738.9199829101564"
"Jones New York Women's Faux Fur Jacket","Jones New York","4","738.8800048828125"
"Tommy Hilfiger Women's Knit Collar Bomber Jacket","Tommy Hilfiger","4","738.8800048828125"
"7 For All Mankind Men's Standard Classic Straight Leg Jean In Cloudy Summer","7 For All Mankind","6","737.9399871826171"
"Banana Republic Men's Full Zip Button Up Mock Neck Sweater Cardigan Black","Banana Republic","11","736.5599899291992"
"Crooks & Castles Men's Knit Mayan Pullover","Crooks & Castles","8","736"
"Silver Jeans Men's Nash Straight Slim Fit Jean","Silver Jeans","8","736"
"KAMALIKULTURE Women's Off The Shoulder Shirred Waist Dress","KAMALIKULTURE","8","736"
"Calvin Klein Women's Bandeau Tankini","Calvin Klein","8","736"
"Michael Stars Women's Long Sleeve Sweatshirt","Michael Stars","8","736"
"Tahari Tiffany Skirt Suit","Tahari","5","735.6500244140625"
"Kasper Gold Standard Skirt Suit","Kasper","5","735.6500244140625"
"Suit Studio Blue Oasis 2 Pc Skirt Suit","Suit Studio","6","735.5999908447264"
"Evan Picone Woven Suit","Evan Picone","6","735.5999908447264"
"Kenneth Cole Slim Separate Pants","Kenneth Cole","10","735.5000305175781"
"Sanctuary Clothing Women's Far East Jacket","Sanctuary","5","735"
"Danny & Nicole Women's Sleeve ITY Stretch Pant Set","Danny & Nicole","7","735"
"Tommy Hilfiger Men's Light Weight Trench Coat","Tommy Hilfiger","7","735"
"Silver Jeans Juniors Suki Surplus Jean","Silver Jeans","7","735"
"parke & ronen Men's Microfiber Print Swim Short","Parke & Ronen","7","735"
"Ray-Ban RB3267 Square Aviator Sunglasses","Ray-Ban","7","734.9299850463866"
"Trina Turk Women's Matilda Scallop Hem Short","Trina Turk","8","734.7999877929688"
"Ray-Ban RB4127 Sunglasses","Ray-Ban","7","734.5800170898436"
"NurtureWear - Maternity and Nursing Loungewear You can Live in -3/4 Sleeves Top with Pants","NurtureWear","10","734.1999816894531"
"Goddess Women's Sport Bra","Goddess","13","734.1100158691406"
"2XU Men's Compression Recovery Sock","2XU","17","733.5500259399414"
"Carhartt Active Jacket","Carhartt","7","731.9199829101564"
"Dickies Men's 13 Inch Inseam Loose Fit Multi-Pocket Work Short","Dickies","12","731.8800201416016"
"Diesel Men's Safado Slim Straight Leg 802I Jean","Diesel","3","731.8499908447264"
"Paul Fredrick Wool Blend Six-Button Vest","Paul Fredrick","7","731.5"
"Austin Reed Men's Classic Dress Pant","Austin Reed","11","731.5"
"Kensie Women's Cuddle Knit Cardigan","Kensie","12","731.2799835205077"
"7 Diamonds Men's Ace Of Spades Woven","7 Diamonds","10","730.2999877929686"
"RUDE Dark Vintage Skinny Jeans","Hot Topic","20","730"
"True Religion Men's Ricky Straight Overdyed Twill Pant","True Religion","6","728.9399871826171"
"Rafaella Women's Comfort Pant","Rafaella","18","728.1599960327148"
"Bliss Nursing Soft Cup Bra","Bravado! Designs","13","728"
"Izod Pullover Long Sleeve Sweater","IZOD","14","728"
"Not Your Daughter's Jeans Women's Alisha Fitted Ankle Jean","Not Your Daughter's Jeans","7","728"
"Not Your Daughter's Jeans Women's Sarah Boot Cut Jean","Not Your Daughter's Jeans","7","728"
"Not Your Daughter's Jeans Women's Petite Premium Marylin Straight Leg Jeans","Not Your Daughter's Jeans","7","728"
"Icebreaker Women's BF 200 Legging","Icebreaker","8","727.9199829101561"
"Glamorise Women's Adjustable Bounce Control Sports Bra","Glamorise","14","727.8600234985352"
"True Religion Women's Halle Mid Rise Lonestar Jean","True Religion","3","726"
"McGinn Women's Evan Stripe Blazer","McGinn","4","726"
"Le Mystere Women's Sexy Mama Nursing Bra","Le Mystere","11","726"
"Puma Men's Socks","PUMA","48","726"
"Quiksilver Men's Cypher Brigg Scallop Boardshort","Quiksilver","11","725.8899765014648"
"French Connection Men's Harvest Wool Cardigan","French Connection","9","725.759994506836"
"MenÃ¢â‚¬â„¢s UA BaseÃ¢â€žÂ¢ 4.0 Baselayer Crew Tops by Under Armour","Under Armour","8","725.4400024414062"
"Krazy Larry Full Length Pull on Pants","Krazy","5","725"
"Arc'teryx Atom LT Vest - Women's","Arc'teryx","5","725"
"Fred Perry Men's Stripe Crew Neck Sweater","Fred Perry","5","725"
"Bill's Khakis Vinatge Twill Pants","Bill's Khakis","5","725"
"Antique Rivet Oswell - Mens Sweater","Antique Rivet","5","725"
"34 Heritage Charisma Twill Pant","34 Heritage","5","725"
"Miraclesuit Happy Place Women's Plus Swimsuit 82049W","Miraclesuit","5","725"
"Men's Polo by Ralph Lauren Hooded Sweat Jacket Hoodie Heather Blue","Timberland","5","725"
"J.C. Rags Men's Solid Linen Pants","J.C. Rags","6","724.1400146484374"
"Hobo  Women's Anya VN-20011AMB Wallet","HOBO","10","723.7000274658203"
"Robert Rodriguez Women's Turtleneck Tail Cardigan","Robert Rodriguez","3","722.9399871826171"
"Marc Ecko Cut & Sew Men's Pinstripe and Plaid Pieced Blazer","Marc Ecko Cut & Sew","7","722.3300170898436"
"London Fog Men's Madison All Weather Coat","London Fog","9","721.9800109863281"
"Best PILOT TROOPER Brown Shell AVIATOR Faux Leather Hat USHANKA Trapper Men and Women","ULTRAFINO PANAMA HAT","19","721.8100318908691"
"Jones New York Women's Stand Collar Jacket","Jones New York","5","721.3500213623047"
"KASPER Standing Collar Tweed Jacket/Skirt Suit","Kasper","5","721.2000274658203"
"Pure Handknit Women's Plus-Size Amelia Tunics Swing","Pure Handknit","7","721"
"Calvin Klein Women's Solid Pleat Band Shirred Swimsuit","Calvin Klein","7","720.9299850463866"
"7 For All Mankind Men's Standard Classic Straight Leg Jean in Worn Mercer","7 For All Mankind","8","720.3200073242188"
"Volcom Men's Claytons Soft Shell","Volcom","4","720"
"Helly Hansen Women's Hh Warm Pant","Helly Hansen","9","720"
"Volcom Men's Coupe Straight Fit Jean","Volcom","9","720"
"PUMA Men's Fleece Pant","PUMA","16","720"
"RVCA Civil Stripe 4-Way Stretch Boardshort - Aqua","RVCA","12","720"
"True Religion Women's Halle Super Vixen Skinny Jean","True Religion","3","720"
